,precision,recall,f1-score,support
Vitamin_A,0.2786885245901639,0.21518987341772153,0.24285714285714285,79.0
Vitamin_B12,0.38461538461538464,0.31645569620253167,0.3472222222222222,79.0
Vitamin_C,0.7340425531914894,0.8734177215189873,0.7976878612716763,79.0
Vitamin_D,0.37362637362637363,0.43037974683544306,0.4,79.0
Vitamin_E,0.9404761904761905,1.0,0.9693251533742331,79.0
accuracy,0.5670886075949367,0.5670886075949367,0.5670886075949367,0.5670886075949367
macro avg,0.5422898052999204,0.5670886075949367,0.5514184759450549,395.0
weighted avg,0.5422898052999204,0.5670886075949367,0.5514184759450549,395.0
